Day,Closing,Volume
2022-07-22,6.81,6.81
2022-07-25,6.58,6.58
2022-07-26,6.93,6.93
2022-07-27,6.73,6.73
2022-07-28,6.66,6.66
2022-07-29,6.43,6.43
2022-08-01,6.33,6.33
2022-08-02,5.96,5.96
2022-08-03,5.83,5.83
2022-08-04,5.99,5.99
2022-08-05,6.0,6.0
2022-08-08,5.92,5.92
2022-08-09,5.92,5.92
2022-08-10,5.93,5.93
2022-08-11,6.08,6.08
2022-08-12,6.35,6.35
2022-08-15,6.27,6.27
2022-08-16,6.32,6.32
2022-08-17,6.38,6.38
2022-08-18,6.37,6.37
2022-08-19,6.34,6.34
2022-08-22,6.64,6.64
2022-08-23,6.64,6.64
2022-08-24,6.5,6.5
2022-08-25,6.45,6.45
2022-08-26,6.58,6.58
2022-08-29,6.77,6.77
2022-08-30,6.74,6.74
2022-08-31,6.68,6.68
2022-09-01,6.46,6.46
2022-09-02,6.63,6.63
2022-09-05,6.54,6.54
2022-09-06,6.87,6.87
2022-09-07,6.84,6.84
2022-09-08,6.87,6.87
2022-09-09,6.94,6.94
2022-09-13,6.97,6.97
2022-09-14,6.94,6.94
2022-09-15,6.96,6.96
2022-09-16,6.72,6.72
2022-09-19,6.84,6.84
2022-09-20,6.99,6.99
2022-09-21,6.8,6.8
2022-09-22,6.62,6.62
2022-09-23,6.44,6.44
2022-09-26,6.99,6.99
2022-09-27,7.54,7.54
2022-09-28,7.21,7.21
2022-09-29,6.97,6.97
2022-09-30,6.95,6.95
2022-10-10,6.8,6.8
2022-10-11,6.54,6.54
2022-10-12,6.18,6.18
2022-10-13,6.2,6.2
2022-10-14,6.37,6.37
2022-10-17,6.36,6.36
2022-10-18,6.65,6.65
2022-10-19,6.52,6.52
2022-10-20,7.17,7.17
2022-10-21,7.22,7.22
2022-10-24,6.97,6.97
2022-10-25,7.3,7.3
2022-10-26,7.21,7.21
2022-10-27,7.18,7.18
2022-10-28,7.09,7.09
2022-10-31,6.96,6.96
2022-11-01,7.66,7.66
2022-11-02,8.25,8.25
2022-11-03,8.35,8.35
2022-11-04,8.94,8.94
2022-11-07,8.76,8.76
2022-11-08,8.71,8.71
2022-11-09,8.51,8.51
2022-11-10,8.85,8.85
2022-11-11,8.85,8.85
2022-11-14,8.34,8.34
2022-11-15,8.8,8.8
2022-11-16,8.41,8.41
2022-11-17,8.57,8.57
2022-11-18,8.16,8.16
2022-11-21,7.83,7.83
2022-11-22,7.54,7.54
2022-11-23,7.46,7.46
2022-11-24,7.49,7.49
2022-11-25,7.65,7.65
2022-11-28,8.21,8.21
2022-11-29,8.68,8.68
2022-11-30,8.61,8.61
2022-12-01,8.83,8.83
2022-12-02,9.08,9.08
2022-12-05,8.82,8.82
2022-12-06,9.07,9.07
2022-12-07,9.34,9.34
2022-12-08,10.27,10.27
2022-12-09,10.15,10.15
2022-12-12,10.26,10.26
2022-12-13,10.65,10.65
2022-12-14,11.23,11.23
2022-12-15,10.63,10.63
2022-12-16,10.62,10.62
